word,transcription,index,long
adoptant,a.d.ɔ.p.t.ɑ̃,1,0
adopte,a.d.ɔ.p.t,1,0
adopter,a.d.ɔ.p.t.e,1,0
adopter,n.a.d.ɔ.p.t.e,2,0
adoption,a.d.ɔ.p.s.j.ɔ̃,1,0
adoption,n.a.d.ɔ.p.s.j.ɔ̃,2,0
adoptions,z.a.d.ɔ.p.t.j.ɔ̃,2,0
adopté,a.d.ɔ.p.t.e,1,0
adopté,t.a.d.ɔ.p.t.e,2,0
adoptée,a.d.ɔ.p.t.e,1,0
adoptées,a.d.ɔ.p.t.e,1,0
adoptés,a.d.ɔ.p.t.e,1,0
adorer,a.d.ɔ.ʁ.e,1,0
adoré,a.d.o.ʁ.e,1,0
adoré,a.d.ɔ.ʁ.e,1,0
ados,a.d.o.s,1,0
adq,a.d.e.k.y,1,0
adresser,a.d.ʁ.e.s.e,1,0
adressez,a.d.ʁ.s.e,1,0
adressé,a.d.ʁ.ɛ.s.e,1,0
adressée,a.d.ʁ.e.s.e,1,0
adressée,a.d.ʁ.ɛ.s.e,1,0
adressés,a.d.ʁ.ɛ.s.e,1,0
adultes,a.d.y.l.t,1,0
adultes,a.d.y.l.t.ə,1,0
adultes,z.a.d.y.l.t,2,0
adéquat,a.d.e.k.w.a,1,0
adéquat,a.d.e.k.w.a,6,1
adéquate,a.d.e.k.w.a.t,1,0
adéquate,a.d.e.k.w.a.t,6,0
adéquatement,a.d.e.k.w.a.t.m.ɑ̃,1,0
adéquatement,a.d.e.k.w.a.t.m.ɑ̃,6,0
adéquates,a.d.e.k.w.a.t,1,0
adéquates,a.d.e.k.w.a.t,6,0
adéquats,a.d.e.k.w.a,1,0
adéquats,a.d.e.k.w.a,6,1
affaiblir,a.f.e.b.l.i.ʁ,1,0
affaiblir,a.f.ɛ.b.ʎ.i.ʁ,1,0
affaire,a.f.ɛ.ʁ,1,0
affaires,z.a.f.ɛ.ʁ,2,0
affaires,a.f.ɛ.ʁ,1,0
affectant,a.f.ɛ.k.t.ɑ̃,1,0
affecte,a.f.ɛ.k.t,1,0
affecte,a.f.ɛ.k.t.ə,1,0
affecte,z.a.f.ɛ.k,2,0
affecte,a.f.ɛ.k,1,0
affectent,a.f.ɛ.k.t,1,0
affecter,a.f.ɛ.k.t.e,1,0
affection,a.f.ɛ.k.s.j.ɔ̃,1,0
affecté,a.f.ɛ.k.t.e,1,0
affectées,a.f.ɛ.k.t.e,1,0
affectés,a.f.ɛ.k.t.e,1,0
affectés,t.a.f.ɛ.k.t.e,2,0
affichait,a.f.i.ʃ.ɛ,1,0
affichant,a.f.i.ʃ.ɑ̃,1,0
affiche,a.f.i.ʃ,1,0
affiché,a.f.i.ʃ.e,1,0
affilié,a.f.i.ʎ.e,1,0
affiliés,a.f.i.ʎ.e,1,0
affinité,a.f.i.ɲ.i.t.e,1,0
affinités,z.a.f.i.n.i.t.e,2,0
affinités,a.f.i.n.i.t.e,1,0
affinités,a.f.i.ɲ.i.t.e,1,0
affirmait,a.f.i.ʁ.m.ɛ,1,0
affirmant,n.a.f.i.ʁ.m.ɑ̃,2,0
affirmant,a.f.i.ʁ.m.ɑ̃,1,0
affirmation,a.f.i.ʁ.m.a.s.j.ɔ̃,1,0
affirmation,a.f.i.ʁ.m.a.s.j.ɔ̃,6,0
affirmations,a.f.i.ʁ.m.a.s.j.ɔ̃,1,0
affirmations,a.f.i.ʁ.m.a.s.j.ɔ̃,6,0
affirme,a.f.i.ʁ.m,1,0
affirmer,a.f.i.ʁ.m.e,1,0
affirmons,a.f.i.ʁ.m.ɔ̃,1,0
affirmé,a.f.i.ʁ.m.e,1,0
afflux,a.f.l.y,1,0
affres,a.f.ʁ,1,0
affreux,a.f.ʁ.ø,1,0
affronter,a.f.ʁ.ɔ̃.t.e,1,0
affronté,a.f.ʁ.ɔ̃.t.e,1,0
afférente,a.f.e.ʁ.ɑ̃.t,1,0
afférentes,a.f.e.ʁ.ɑ̃.t,1,0
afin,a.f.ɛ̃,1,0
africains,a.f.ʁ.i.c.ɛ̃,1,0
africains,a.f.ʁ.i.k.ɛ̃,1,0
afrique,a.f.ʁ.i.k,1,0
agace,a.ɡ.a.s,1,0
agace,a.ɡ.a.s,3,0
agacement,n.a.g.a.s.m.ɑ̃,2,0
agacement,n.a.g.a.s.m.ɑ̃,4,0
agence,a.ʒ.ɑ̃.s,1,0
agences,a.ʒ.ɑ̃.s,1,0
agences,z.a.ʒ.ɑ̃.s,2,0
agents,a.ʒ.ɑ̃,1,0
agi,a.ʒ.i,1,0
agile,a.ʒ.i.l,1,0
agiles,a.ʒ.i.l,1,0
agilité,a.ʒ.i.ʎ.i.t.e,1,0
agir,a.ʒ.i.ʁ,1,0
agira,a.ʒ.i.ʁ.a,1,0
agira,a.ʒ.i.ʁ.a,5,1
agissaient,a.ʒ.i.s.ɛ,1,0
agissait,a.ʒ.i.s.ɛ,1,0
agissant,a.ʒ.i.s.ɑ̃,1,0
agisse,a.ʒ.i.s,1,0
agissent,a.ʒ.i.s,1,0
agissons,z.a.ʒ.i.s.ɔ̃,2,0
agissons,a.ʒ.i.s.ɔ̃,1,0
agit,a.ʒ.i,1,0
agiter,a.ʒ.i.t.e,1,0
agrandi,a.ɡ.ʁ.ɑ̃.d.i,1,0
agrandies,a.ɡ.ʁ.ɑ̃.d.i,1,0
agrandir,a.ɡ.ʁ.ɑ̃.d.i.ʁ,1,0
agrandissement,a.ɡ.ʁ.ɑ̃.d.i.s.m.ɑ̃,1,0
agrandissements,a.ɡ.ʁ.ɑ̃.d.i.s.m.ɑ̃,1,0
agresseurs,a.ɡ.ʁ.ɛ.s.œ.ʁ,1,0
agressions,a.ɡ.ʁ.ɛ.s.j.ɔ̃,1,0
agressivité,a.ɡ.ʁ.ɛ.s.i.v.i.t.e,1,0
agri,a.g.ʁ.i,1,0
agri,a.ɡ.ʁ.i,1,0
agricole,a.ɡ.ʁ.i.k.ɔ.l,1,0
agricole,a.g.ʁ.i.k.ɔ.l,1,0
agricoles,a.ɡ.ʁ.i.k.ɔ.l,1,0
agricoles,a.g.ʁ.i.k.ɔ.l,1,0
agriculteur,a.ɡ.ʁ.i.k.y.l.t.œ.ʁ,1,0
agriculteurs,a.ɡ.ʁ.i.k.y.l.t.œ.ʁ,1,0
agriculture,a.g.ʁ.i.k.y.l.t.y.ʁ,1,0
agriculture,a.ɡ.ʁ.i.k.y.l.t.y.ʁ,1,0
agro,a.ɡ.ʁ.o,1,0
agroalimentaire,a.ɡ.ʁ.ɔ.a.ʎ.i.m.ɑ̃.t.ɛ.ʁ,1,0
agroalimentaire,a.ɡ.ʁ.ɔ.a.ʎ.i.m.ɑ̃.t.ɛ.ʁ,5,0
agroalimentaires,a.ɡ.ʁ.ɔ.a.ʎ.i.m.ɑ̃.t.ɛ.ʁ,1,0
agroalimentaires,a.ɡ.ʁ.ɔ.a.ʎ.i.m.ɑ̃.t.ɛ.ʁ,5,0
agréable,a.ɡ.ʁ.e.a.b.l,1,0
agréable,a.ɡ.ʁ.e.a.b.l,5,0
agréable,a.g.ʁ.e.a.b,1,0
agréable,a.g.ʁ.e.a.b,5,0
agréable,t.a.g.ʁ.e.a.b,2,0
agréable,t.a.g.ʁ.e.a.b,6,0
agréables,a.g.ʁ.e.a.b,1,0
agréables,a.g.ʁ.e.a.b,5,0
agrées,a.g.ʁ.e,1,0
agrémenté,a.ɡ.ʁ.e.m.ɑ̃.t.e,1,0
aguerri,a.ɟ.e.ʁ.i,1,0
aguerris,a.ɟ.e.ʁ.i,1,0
ah,a,1,0
aidera,ɛ.d.ʁ.a,4,1
aille,a.j,1,1
aillent,a.j,1,0
ailleurs,a.j.œ.ʁ,1,0
aimable,ɛ.m.a.b.l,3,0
aimera,ɛ.m.ʁ.a,4,1
