législature,prénom,nom,nom_complet,du,au,parti,circonscription
43,Marilyne,Picard,Marilyne Picard,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Soulanges
43,Lionel,Carmant,Lionel Carmant,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Taillon
43,Etienne,Grandmont,Etienne Grandmont,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Taschereau
43,Pierre,Fitzgibbon,Pierre Fitzgibbon,2022-10-03T00:00:00Z,2014-09-05T00:00:00Z,CAQ,Terrebonne
43,Catherine,Gentilcore,Catherine Gentilcore,2025-03-17T00:00:00Z,2026-10-04T00:00:00Z,PQ,Terrebonne
43,Jean,Boulet,Jean Boulet,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Trois-Rivières
43,Denis,Lamothe,Denis Lamothe,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Ungava
43,Ian,Lafrenière,Ian Lafrenière,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Vachon
43,Mario,Asselin,Mario Asselin,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Vanier-Les Rivières
43,Marie-Claude,Nichols,Marie-Claude Nichols,2022-10-03T00:00:00Z,2022-10-26T00:00:00Z,PLQ,Vaudreuil
43,Marie-Claude,Nichols,Marie-Claude Nichols,2022-10-27T00:00:00Z,2026-10-04T00:00:00Z,IND,Vaudreuil
43,Suzanne,Roy,Suzanne Roy,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Verchères
43,Alejandra,Zaga Mendez,Alejandra Zaga Mendez,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Verdun
43,Frantz,Benjamin,Frantz Benjamin,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Viau
43,Valérie,Schmaltz,Valérie Schmaltz,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Vimont
43,Jennifer,Maccarone,Jennifer Maccarone,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Westmount–Saint-Louis
