prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Sylvain,Simard,Sylvain Simard,m,1945,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Christos,Sirros,Christos Sirros,m,1948,Athènes,,Grèce
Christopher,Skeete,Christopher Skeete,m,1979,Montréal,Montréal,Québec
Gerry,Sklavounos,Gerry Sklavounos,m,1974,Montréal,Montréal,Québec
Chantal,Soucy,Chantal Soucy,f,1974,Saint-Rémi,Montérégie,Québec
Jean-Pierre,Soucy,Jean-Pierre Soucy,m,1952,Québec,Capitale-Nationale,Québec
André,Spénard,André Spénard,m,1950,Thetford Mines,Chaudière-Appalaches,Québec
Danielle,St-Amand,Danielle St-Amand,f,1964,Sainte-Thècle,Mauricie,Québec
Bertrand,St-Arnaud,Bertrand St-Arnaud,m,1958,Montréal,Montréal,Québec
Yves,St-Denis,Yves St-Denis,m,1963,Brownsburg,Laurentides,Québec
Michelyne,St-Laurent,Michelyne St-Laurent,f,1948,Québec,Capitale-Nationale,Québec
François,St-Louis,François St-Louis,m,1967,Joliette,Lanaudière,Québec
Christine,St-Pierre,Christine St-Pierre,f,1953,Saint-Roch-des-Aulnaies,Chaudière-Appalaches,Québec
Paul,St-Pierre Plamondon,Paul St-Pierre Plamondon,m,1977,Trois-Rivières,Mauricie,Québec
Claude,Surprenant,Claude Surprenant,m,1963,,,
Gilles,Taillon,Gilles Taillon,m,1945,Saint-Jérôme,Laurentides,Québec
Marc,Tanguay,Marc Tanguay,m,1973,,,
Denis,Tardif,Denis Tardif,m,,,,
Marie-Louise,Tardif,Marie-Louise Tardif,f,,Sainte-Anne-de-la-Pocatière,Bas-Saint-Laurent,Québec
Carole,Théberge,Carole Théberge,f,1953,Saint-Philémon,Chaudière-Appalaches,Québec
Lise,Thériault,Lise Thériault,f,1966,Toronto,,Ontario
Luc,Thériault,Luc Thériault,m,1960,Montréal,Montréal,Québec
Alain,Therrien,Alain Therrien,m,1966,Verdun,Montréal,Québec
Jean-François,Therrien,Jean-François Therrien,m,1969,Québec,Capitale-Nationale,Québec
Louis-Charles,Thouin,Louis-Charles Thouin,m,1971,,,
Tony,Tomassi,Tony Tomassi,m,1971,Montréal,Montréal,Québec
André,Tranchemontagne,André Tranchemontagne,m,1939,Montréal,Montréal,Québec
Mathieu,Traversy,Mathieu Traversy,m,1984,Mascouche,Lanaudière,Québec
François,Tremblay,François Tremblay,m,1970,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Guillaume,Tremblay,Guillaume Tremblay,m,1984,Mascouche,Lanaudière,Québec
Stéphan,Tremblay,Stéphan Tremblay,m,1973,Alma,Saguenay–Lac-Saint-Jean,Québec
Suzanne,Tremblay,Suzanne Tremblay,f,1977,Chicoutimi-Nord,Saguenay–Lac-Saint-Jean,Québec
Véronyque,Tremblay,Véronyque Tremblay,f,1974,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Denis,Trottier,Denis Trottier,m,1952,Dolbeau-Mistassini,Saguenay–Lac-Saint-Jean,Québec
