id,prénom,nom,nom_complet,genre,annee_naissance,municipalité,région,lieu,lat,long
76718,Louise,Harel,Louise Harel,f,1946,Sainte-Thérèse,Laurentides,Québec,45.6342923,-73.8362379
14953,Céline,Haytayan,Céline Haytayan,f,1980,,,,,
68749,Geneviève,Hébert,Geneviève Hébert,f,1973,Sherbrooke,Estrie,Québec,45.403271,-71.889038
70954,Réjean,Hébert,Réjean Hébert,m,1955,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
59202,David,Heurtel,David Heurtel,m,1971,Montréal,Montréal,Québec,45.5031824,-73.5698065
63101,Véronique,Hivon,Véronique Hivon,f,1970,Joliette,Lanaudière,Québec,46.0239798,-73.4419936
70450,Fatima,Houda-Pepin,Fatima Houda-Pepin,f,,Meknès,,Maroc,,
95698,Patrick,Huot,Patrick Huot,m,1975,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
89595,Alexandre,Iracà,Alexandre Iracà,m,1970,Val-d'Or,Abitibi-Témiscamingue,Québec,48.1023356,-77.7875715
48416,Claire,IsaBelle,Claire IsaBelle,f,1962,Saint-Michel,Montérégie,Québec,45.2381816,-73.5699087
42171,François,Jacques,François Jacques,m,1970,Lac-Mégantic,Estrie,Québec,45.5772636,-70.8819927
66936,Yolande,James,Yolande James,f,1977,Montréal,Montréal,Québec,45.5031824,-73.5698065
90953,Mireille,Jean,Mireille Jean,f,1960,Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
47863,Chantale,Jeannotte,Chantale Jeannotte,f,1964,Montréal,Montréal,Québec,45.5031824,-73.5698065
98543,Monique,Jérôme-Forget,Monique Jérôme-Forget,f,1940,Montréal,Montréal,Québec,45.5031824,-73.5698065
67810,Simon,Jolin-Barrette,Simon Jolin-Barrette,m,1987,Mont-Saint-Hilaire,Montérégie,Québec,45.5623512,-73.1918864
24245,Jean-Pierre,Jolivet,Jean-Pierre Jolivet,m,1941,Montréal,Montréal,Québec,45.5031824,-73.5698065
