discourse,speaker,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,following_following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end
ANQ083-1,77650,ɜ,0.11972789115646164,24.367120181405895,24.486848072562356,3,p,ʃ,m,p.ɜ.ʃ,24.287301587301585,24.61655328798186,empêchement,ɑ̃.p.ɜ.ʃ.m.ɑ̃,24.17755102040816,24.776190476190475
ANQ007-3,66831,ɜ,0.2594104308390044,38.70453514739229,38.963945578231296,2,m,m,sp,m.ɜ.m,38.62471655328799,39.06371882086168,même,m.ɜ.m,38.62471655328799,39.06371882086168
11696_f2_int3_20230329_CH_154830,11696,ɜ,0.1900000000000119,90.71,90.9,2,b,s,<SIL>,b.ɜ.s,90.64,91.07,baisses,b.ɜ.s,90.64,91.07
ANQ031-23,46224,ɜ,0.05986394557823615,40.14126984126984,40.201133786848075,2,f,ʁ,l,f.ɜ.ʁ,40.041496598639455,40.270975056689345,faire,f.ɜ.ʁ,40.041496598639455,40.270975056689345
98330_f7_int7_2021_03_31_CH_0-1433,98330,œ,0.10000000000000142,21.09,21.19,2,f,j,c,f.œ.j,20.89,21.25,feuille,f.œ.j,20.89,21.25
89010_f5_int6_2022_03_29_assnat_105202,89010,œ,0.14000000000000057,40.41,40.55,2,l,ʁ,ʁ,l.œ.ʁ,40.38,40.62,leur,l.œ.ʁ,40.38,40.62
38811_f6_int7_2018_03_21_assnat,38811,œ,0.10000000000000142,53.18,53.28,2,l,ʁ,ɑ̃,l.œ.ʁ,53.15,53.34,leur,l.œ.ʁ,53.15,53.34
59678_f4_int4_2019_04_18_CH_0-19_30,59678,œ,0.05000000000000071,26.48,26.53,2,l,ʁ,t,l.œ.ʁ,26.42,26.61,leurs,l.œ.ʁ,26.42,26.61
ANQ006-1,36024,œ,0.18956916099773125,13.372108843537417,13.561678004535146,6,t,ʁ,d,t.œ.ʁ,13.272335600907027,13.731292517006802,fondateurs,f.ɔ̃.d.a.t.œ.ʁ,12.903174603174602,13.731292517006802
ANQ086-3,66902,œ,0.12970521541950575,61.55260770975057,61.68231292517007,2,z,ʁ,d,z.œ.ʁ,61.462811791383224,61.73219954648526,heures,z.œ.ʁ,61.462811791383224,61.73219954648526
30777_f1_int2_20221206_CH_193811,30777,œ,0.2599999999999909,70.84,71.1,3,ɔ,ʁ,<SIL>,œ.ʁ,70.84,71.16,coeur,k.ɔ.œ.ʁ,70.73,71.16
93404_f11_int17_2010_05_11_comm,93404,œ,0.14999999999999858,36.28,36.43,9,j,ʁ,d,ʁ.j.œ.ʁ,36.12,36.47,l'extérieur,l.ɛ.k.s.t.e.ʁ.j.œ.ʁ,35.78,36.47
86777_f5_int6_20230329_CH_120834,86777,œ,0.14999999999999858,58.63,58.78,4,t,ʁ,<SIL>,t.œ.ʁ,58.6,58.86,acteurs,a.k.t.œ.ʁ,58.34,58.86
95941_f1_int2_20221206_CH_200218,95941,œ,0.12999999999999545,64.53,64.66,4,k,j,i,k.œ.j,64.43,64.71,d'accueil,d.a.k.œ.j,64.29,64.71
28898_f2_int2_2019_05_02_CH_0-19_30,28898,œ,0.28999999999999915,49.44,49.73,4,ʒ,ʁ,d,ʒ.œ.ʁ,49.36,49.79,majeure,m.a.ʒ.œ.ʁ,49.17,49.79
ANQ062-10,69953,œ,0.07981859410430658,31.70045351473923,31.780272108843537,3,k,j,p,k.œ.j,31.570748299319725,31.860090702947847,accueils,a.k.œ.j,31.47097505668934,31.860090702947847
10622_f4_int5_20221202_CH_115051,10622,œ,0.08000000000000007,1.15,1.23,4,j,ʁ,ɛ̃,j.œ.ʁ,1.06,1.27,d'ailleurs,d.a.j.œ.ʁ,0.96,1.27
68409_f6_int6_2022_03_29_CH_0-1724,68409,œ,0.07000000000000028,41.65,41.72,2,l,ʁ,ʃ,l.œ.ʁ,41.55,41.79,leur,l.œ.ʁ,41.55,41.79
89010_f9_int11_2022_03_29_assnat_105202,89010,œ,0.0600000000000005,10.12,10.18,4,l,ʁ,ø,l.œ,10.07,10.18,malheureusement,m.a.l.œ.ʁ.ø.z.m.ɑ̃,9.92,10.56
20291_f4_int5_20230328_CH_161055,20291,œ,0.0799999999999983,65.9,65.98,2,ʒ,n,ɛ,ʒ.œ,65.84,65.98,jeunesse,ʒ.œ.n.ɛ.s,65.84,66.2
28898_f4_int4_2019_05_02_CH_0-19_30,28898,œ,0.06999999999999318,52.84,52.91,2,n,f,n,n.œ.f,52.79,53.01,neuf,n.œ.f,52.79,53.01
28898_f2_int2_2019_05_02_CH_0-19_30,28898,œ,0.20000000000000284,86.63,86.83,2,l,ʁ,<SIL>,l.œ.ʁ,86.49,86.92,leur,l.œ.ʁ,86.49,86.92
20189_f6_int6_2021_03_31_CH_0-1626,20189,œ,0.20999999999999375,38.59,38.8,5,t,ʁ,d,t.œ.ʁ,38.55,38.86,secteurs,s.ɛ.k.t.œ.ʁ,38.33,38.86
35448_f3_int4_20221208_CH_114157,35448,œ,0.08000000000000185,20.61,20.69,2,s,l,m,s.œ.l,20.55,20.7,seulement,s.œ.l.m.ɑ̃,20.55,20.81
30777_f2_int3_20221206_CH_193811,30777,œ,0.0799999999999983,98.64,98.72,5,t,ʁ,<SIL>,t.œ.ʁ,98.59,98.88,secteurs,s.ɛ.k.t.œ.ʁ,98.28,98.88
85186_f3_int4_20221201_CH_205221,85186,œ,0.07000000000000739,68.19,68.26,1,ɛ,ʁ,ø,œ,68.19,68.26,heureuse,œ.ʁ.ø.z,68.19,68.53
20291_f12_int13_20230328_CH_161055,20291,œ,0.12000000000000456,64.96,65.08,2,d,v,ʁ,d.œ.v.ʁ,64.91,65.16,d'oeuvre,d.œ.v.ʁ,64.91,65.16
13539_f3_int5_2019_04_02_assnat_1622,13539,œ,0.09000000000000341,43.11,43.2,4,n,v,ʁ,n.œ.v.ʁ,43.07,43.26,manoeuvre,m.a.n.œ.v.ʁ,42.94,43.26
ANQ067-16,93238,œ,0.07981859410430836,5.051020408163265,5.130839002267574,8,t,ʁ,k,t.œ.ʁ,4.991156462585034,5.190702947845805,modérateur,m.o.d.e.ʁ.a.t.œ.ʁ,4.631972789115646,5.190702947845805
47863_f7_int9_20230328_CH_111155,47863,œ,0.07000000000000028,54.8,54.87,6,j,ʁ,k,z.j.œ.ʁ,54.73,54.91,plusieurs,p.l.y.z.j.œ.ʁ,54.63,54.91
23400_f6_int8_2017_04_27_comm,23400,œ,0.19999999999998863,75.54,75.74,4,j,ʁ,<SIL>,j.œ.ʁ,75.44,75.77,d'ailleurs,d.a.j.œ.ʁ,75.26,75.77
95941_f5_int6_20221206_CH_200218,95941,œ,0.0799999999999983,40.54,40.62,4,j,ʁ,ɛ̃,j.œ.ʁ,40.41,40.78,meilleures,m.ɛ.j.œ.ʁ,40.29,40.78
ANQ031-19,46224,œ,0.05986394557822905,29.884580498866217,29.944444444444443,2,s,l,m,s.œ.l,29.774829931972786,29.97437641723356,seulement,s.œ.l.m.ɑ̃,29.774829931972786,30.09410430839002
92098_f1_int2_2018_06_07_assnat_2,92098,œ,0.05999999999999517,53.81,53.87,4,l,ʁ,ø,l.œ,53.76,53.87,chaleureusement,ʃ.a.l.œ.ʁ.ø.z.m.ɑ̃,53.57,54.34
ANQ096-1,10162,œ,0.12970521541949154,58.230158730158735,58.359863945578226,1,i,v,ʁ,œ,58.230158730158735,58.359863945578226,oeuvrent,œ.v.ʁ.ə,58.230158730158735,58.60929705215419
66902_f2_int4_2013_02_13_comm_2,66902,œ,0.16000000000000014,15.57,15.73,1,n,ʁ,<SIL>,œ.ʁ,15.57,15.84,heure,œ.ʁ,15.57,15.84
35448_f1_int2_20221208_CH_114157,35448,œ,0.2600000000000051,88.3,88.56,5,l,ʁ,d,p.l.œ.ʁ,88.13,88.64,l'ampleur,l.ɑ̃.p.l.œ.ʁ,87.83,88.64
61332_f9_int13_2013_02_15_comm_1,61332,œ,0.07000000000000028,7.25,7.32,6,j,ʁ,d,z.j.œ.ʁ,7.17,7.39,plusieurs,p.l.y.z.j.œ.ʁ,7.01,7.39
47863_f2_int2_20230328_CH_111155,47863,œ,0.12999999999999545,79.33,79.46,7,f,j,spn,f.œ.j,79.25,79.52,portefeuilles,p.ɔ.ʁ.t.ə.f.œ.j,78.88,79.52
20189_f5_int5_2021_03_31_CH_0-1626,20189,œ,0.12999999999999545,84.29,84.42,4,t,ʁ,d,t.œ.ʁ,84.25,84.49,acteurs,a.k.t.œ.ʁ,84.1,84.49
30777_f4_int5_20221206_CH_193811,30777,œ,0.2199999999999989,86.63,86.85,1,<SIL>,v,ʁ,œ.v.ʁ,86.63,86.95,oeuvre,œ.v.ʁ,86.63,86.95
37282_f5_int7_20230328_CH_182011,37282,œ,0.11999999999999744,22.67,22.79,2,p,v,p,p.œ.v,22.57,22.88,peuvent,p.œ.v,22.57,22.88
20978_f2_int3_2017_04_27_comm,20978,œ,0.2199999999999989,43.5,43.72,8,j,ʁ,<SIL>,ʁ.j.œ.ʁ,43.34,43.76,extérieure,ɛ.k.s.t.e.ʁ.j.œ.ʁ,42.99,43.76
55473_f4_int5_2022_03_24_assnat_160345,55473,œ,0.0799999999999983,46.42,46.5,2,l,ʁ,ʃ,l.œ.ʁ,46.28,46.59,leur,l.œ.ʁ,46.28,46.59
